timestamp,id,symbol,name,current_price,market_cap,market_cap_rank,price_change_percentage_24h,high_24h,low_24h,total_volume,last_updated
2025-10-21T16:08:13.015915,bitcoin,btc,Bitcoin,107938,2153155430982,1,-2.8997,111555,107576,59839555689,2025-10-21T08:07:16.586Z
2025-10-21T16:08:13.015915,ethereum,eth,Ethereum,3886.3,469311742778,2,-3.9698,4059.67,3848.07,33657532066,2025-10-21T08:07:03.602Z
2025-10-21T16:08:13.015915,tether,usdt,Tether,1.0,182027764592,3,0.00878,1.001,1.0,103530049865,2025-10-21T08:07:16.008Z
2025-10-21T16:08:13.015915,binancecoin,bnb,BNB,1071.91,149242889841,4,-4.51346,1128.13,1063.06,2827544916,2025-10-21T08:07:16.504Z
2025-10-21T16:08:13.015915,ripple,xrp,XRP,2.42,145377157127,5,-1.7378,2.54,2.42,4250020533,2025-10-21T08:07:14.418Z
2025-10-21T16:08:13.015915,solana,sol,Solana,184.67,101139002283,6,-4.31502,193.57,183.42,5783319417,2025-10-21T08:07:14.820Z
2025-10-21T16:08:13.015915,usd-coin,usdc,USDC,0.999801,76248231572,7,-0.00534,0.999908,0.999703,8369392475,2025-10-21T08:07:05.559Z
2025-10-21T16:08:13.015915,staked-ether,steth,Lido Staked Ether,3884.84,33004596086,8,-4.0454,4058.48,3845.59,49667986,2025-10-21T08:07:14.729Z
2025-10-21T16:08:13.015915,tron,trx,TRON,0.320234,30314319196,9,-0.87839,0.324147,0.317816,566079673,2025-10-21T08:07:16.049Z
2025-10-21T16:08:13.015915,dogecoin,doge,Dogecoin,0.193925,29380665835,10,-3.49556,0.202164,0.193115,1880090293,2025-10-21T08:07:09.069Z
